Date,Species,sex,Standard.Length,Fork.Length,Total.Length,Condition
6/1/2002,Caribbean reef shark,M,83,94,116,E
6/1/2002,Caribbean reef shark,M,71,79,99,D
6/1/2002,Nurse shark,F,155,,200,E
6/1/2002,Nurse shark,F,115,,159,E
6/1/2002,Nurse shark,M,110,,160,F
6/1/2002,Nurse shark,M,158,,226.5,E
6/1/2002,Nurse shark,F,NR,,NR,E
6/1/2002,Nurse shark,M,113,,162,E
6/1/2002,Nurse shark,NR,NR,,ca. 150-160,E
6/1/2002,Nurse shark,F,121,,179.4,E
6/1/2002,Nurse shark,F,105,,150,E
6/1/2002,Nurse shark,M,99.5,,142.5,E
6/1/2002,Nurse shark,M,103,,149,E
6/1/2002,N.brevirostris,M,109,122,146,E
6/2/2002,Caribbean reef shark,F,70,78.5,97,E
6/2/2002,Nurse shark,M,90,,132,E
6/2/2002,Nurse shark,M,93,,133,E
6/2/2002,Nurse shark,M,115,,161,E
6/2/2002,Nurse shark,F,98,,149,E
6/2/2002,Nurse shark,F,94,,138,E
6/2/2002,L.analis,,,,,D
6/2/2002,L.analis,,,,,E
6/2/2002,L.analis,,,,,D
6/3/2002,Southern stingray,F,80,,,E
6/4/2002,Caribbean reef shark,M,69,77,94,E
6/4/2002,Caribbean reef shark,M,77,85,108,E
6/4/2002,Southern stingray,F,110,,,E
6/4/2002,Caribbean reef shark,M,60,67.5,83,D
6/4/2002,Caribbean reef shark,F,66,74,90,E
6/4/2002,Caribbean reef shark,F,64,72,88,D
6/4/2002,Nurse shark,F,105.2,,152.2,E
6/4/2002,Nurse shark,M,113.6,,162.4,E
6/4/2002,Nurse shark,M,100.4,,143.2,E
6/4/2002,Nurse shark,F,,,ca. 110,
6/4/2002,Nurse shark,,,,ca.140,
6/4/2002,Nurse shark,,,,ca.150,
6/4/2002,Nurse shark,,,,ca.170,
6/4/2002,Nurse shark,,,,ca.180,
6/4/2002,Nurse shark,M,127,,186,E
5/17/2003,Nurse shark,F,109,,155,E
5/17/2003,Nurse shark,M,94,,134,E
5/17/2003,Nurse shark,F,102,,146,E
5/17/2003,Nurse shark,M,153,,221,E
5/17/2003,Nurse shark,F,126,,182,E
5/17/2003,Nurse shark,F,110,,161,E
5/17/2003,Southern stingray,F,,,,
5/17/2003,L.analis,,,,,
5/17/2003,N.brevirostris,F,200,222,258,E
5/18/2003,Caribbean reef shark,F,75,82,102,E
5/18/2003,Caribbean sharpnose shark,F,70,76,89,E
5/18/2003,Caribbean reef shark,F,106,125,155,E
5/19/2003,Caribbean reef shark,F,110,122,153,E
5/19/2003,Caribbean reef shark,M,98,107,134,E
5/19/2003,Caribbean reef shark,M,71.4,81,99.8,E
5/19/2003,Caribbean reef shark,F,,,230,E
5/19/2003,Nurse shark,M,165,,235,E
5/19/2003,Caribbean reef shark,M,84,93,115,E
5/19/2003,Nurse shark,M,107,,157,E
5/19/2003,Nurse shark,M,150,,210,E
5/21/2003,Caribbean reef shark,F,92,107,125,E
5/21/2003,Caribbean reef shark,M,103,115,141,E
5/21/2003,Caribbean reef shark,F,100,109,133,G
5/21/2003,Caribbean reef shark,F,106,119,145,E
5/21/2003,Caribbean reef shark,F,92,103,126,G
5/21/2003,Caribbean reef shark,M,103,113,143,G
5/21/2003,Caribbean reef shark,F,114,127,160,G
5/21/2003,Caribbean reef shark,F,110,125,151,E
5/21/2003,Caribbean reef shark,F,,,201,G
5/22/2003,Caribbean reef shark,F,83.2,93,115,G
5/22/2003,Caribbean reef shark,M,102,111,141,E
5/22/2003,Caribbean reef shark,F,105,113,143,E
